,Unnamed: 0,movieId,title,genres,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,key,year
0,0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Toy Story,1995.0
1,1,2,Jumanji (1995),Adventure|Children|Fantasy,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Jumanji,1995.0
2,2,3,Grumpier Old Men (1995),Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Grumpier Old Men,1995.0
3,3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,Waiting to Exhale,1995.0
4,4,5,Father of the Bride Part II (1995),Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Father of the Bride Part II,1995.0
5,5,6,Heat (1995),Action|Crime|Thriller,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Heat,1995.0
6,6,7,Sabrina (1995),Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Sabrina,1995.0
7,7,8,Tom and Huck (1995),Adventure|Children,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Tom and Huck,1995.0
8,8,9,Sudden Death (1995),Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Sudden Death,1995.0
9,9,10,GoldenEye (1995),Action|Adventure|Thriller,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,GoldenEye,1995.0
10,10,11,"American President, The (1995)",Comedy|Drama|Romance,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,The American President,1995.0
11,11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Dracula: Dead and Loving It,1995.0
12,12,13,Balto (1995),Adventure|Animation|Children,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Balto,1995.0
13,13,14,Nixon (1995),Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Nixon,1995.0
14,14,15,Cutthroat Island (1995),Action|Adventure|Romance,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Cutthroat Island,1995.0
15,15,16,Casino (1995),Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Casino,1995.0
16,16,17,Sense and Sensibility (1995),Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,Sense and Sensibility,1995.0
17,17,18,Four Rooms (1995),Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Four Rooms,1995.0
18,18,19,Ace Ventura: When Nature Calls (1995),Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Ace Ventura: When Nature Calls,1995.0
19,19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,Money Train,1995.0
20,20,21,Get Shorty (1995),Comedy|Crime|Thriller,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,Get Shorty,1995.0
21,21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,Copycat,1995.0
22,22,23,Assassins (1995),Action|Crime|Thriller,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Assassins,1995.0
23,23,24,Powder (1995),Drama|Sci-Fi,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Powder,1995.0
24,24,25,Leaving Las Vegas (1995),Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,Leaving Las Vegas,1995.0
25,25,26,Othello (1995),Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Othello,1995.0
26,26,27,Now and Then (1995),Children|Drama,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Now and Then,1995.0
27,27,28,Persuasion (1995),Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,Persuasion,1995.0
28,28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0
29,29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0
30,30,31,Dangerous Minds (1995),Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Dangerous Minds,1995.0
31,31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0
32,32,34,Babe (1995),Children|Drama,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Babe,1995.0
33,33,36,Dead Man Walking (1995),Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Dead Man Walking,1995.0
34,34,38,It Takes Two (1995),Children|Comedy,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,It Takes Two,1995.0
35,35,39,Clueless (1995),Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Clueless,1995.0
36,36,40,"Cry, the Beloved Country (1995)",Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"Cry, the Beloved Country",1995.0
37,37,41,Richard III (1995),Drama|War,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Richard III,1995.0
38,38,42,Dead Presidents (1995),Action|Crime|Drama,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Dead Presidents,1995.0
39,39,43,Restoration (1995),Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Restoration,1995.0
40,40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Mortal Kombat,1995.0
41,41,45,To Die For (1995),Comedy|Drama|Thriller,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,To Die For,1995.0
42,42,46,How to Make an American Quilt (1995),Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,How to Make an American Quilt,1995.0
43,43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Seven (a.k.a. Se7en),1995.0
44,44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,Pocahontas,1995.0
45,45,49,When Night Is Falling (1995),Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,When Night Is Falling,1995.0
